task,model,proxy,target,rmse_significance,r2_significance,pearson_significance,spearman_significance,rmse_diff,r2_diff,pearson_diff,spearman_diff
auction_verification,xgboost,L2s,L1,1,-1,-1,-1,273.982694293867,-0.1306384150514719,-0.10304331548070289,-0.2555803349712015
auction_verification,xgboost,L2s,L2,0,-1,0,-1,1324943.2740882859,-0.37807147095598004,-0.0409912069659808,-0.13082078849325562
auction_verification,xgboost,L2s,Lpls,1,-1,-1,-1,0.2985581043241125,-0.6094667904339811,-0.4617844596458055,-0.4286414117333656
auction_verification,xgboost,L2s,Lpl,1,-1,-1,-1,0.1483828509833255,-0.8963880174265781,-0.23874993668316213,-0.29466538891270333
auction_verification,xgboost,Lpls,L1s,1,-1,-1,1,371.9667380332503,-0.7695789966106815,-0.15508379890988733,0.08205566628421224
auction_verification,xgboost,Lpls,L1,1,-1,-1,-1,594.6178452139875,-0.9603569592400155,-0.2775730516074286,-0.10885163336932813
auction_verification,xgboost,Lpls,L2s,1,-1,-1,1,3612702.4890542366,-1.048628617374089,-0.21308858613492893,0.4285705462244144
auction_verification,xgboost,Lpls,L2,1,-1,-1,0,7044941.519967476,-1.7194152586765938,-0.364210132125467,0.015984584112840317
auction_verification,xgboost,Lpls,Lpl,1,-1,-1,-1,0.06994250038114058,-0.48788790157250117,-0.11940686217222063,-0.14792410157144653
auction_verification,xgboost,L1,L2,0,-1,0,1,1758653.6795493383,-1.5569423283251842,0.035805648736012,0.12454109565542348
auction_verification,xgboost,L1,Lpl,1,-1,-1,-1,0.03715706281798084,-0.1542795290815393,-0.042547291597266446,-0.03914786902842826
auction_verification,xgboost,L2,L1,1,0,-1,-1,260.5620637110517,-0.0185909788631623,-0.04489498079628995,-0.12325527153054217
auction_verification,xgboost,L2,Lpl,1,-1,-1,-1,0.17506904992782857,-1.5197832821611916,-0.13033863379738508,-0.16228708351619692
auction_verification,xgboost,Lpl,L1,1,-1,-1,1,271.53355969652637,-0.39548265029870533,-0.11030528898669334,0.03914324430533034
auction_verification,xgboost,Lpl,L2,1,-1,-1,1,5736941.1395440735,-1.6407042300317165,-0.2792557660889915,0.1637688314445772
auction_verification,nn,L1s,L1,1,-1,-1,-1,170.42951983091234,-0.38983077315103387,-0.1038580458697711,-0.2641504670397307
auction_verification,nn,L1s,L2s,0,0,0,1,1056764.6522056498,0.10063680265015762,-0.06459593360457794,0.23744239123299807
auction_verification,nn,L1s,L2,0,0,1,-1,-881351.5681109689,0.09920232899891557,0.05290173225350836,-0.05962317896571395
auction_verification,nn,L1s,Lpls,1,0,0,-1,0.017017492729209993,0.0755046358835319,-0.02762109102166177,-0.037706839205971954
auction_verification,nn,L1s,Lpl,1,-1,-1,-1,0.08103393294721908,-0.39043881964376415,-0.178949641190436,-0.32621902754948817
auction_verification,nn,L2s,L1s,0,1,0,-1,96.13241370599258,0.24562984181407432,0.02132433146191598,-0.23729963205857318
auction_verification,nn,L2s,L1,1,-1,-1,-1,448.4210572806503,-0.753191672020386,-0.24329690788184322,-0.5772646406835298
auction_verification,nn,L2s,L2,0,0,0,-1,236181.69649291784,-0.5123654297800696,-0.021349712825664224,-0.3720175398032243
auction_verification,nn,L2s,Lpls,1,-1,-1,-1,0.1639384291713829,-0.139051016288942,-0.17471655120211538,-0.274660344318613
